direction,no_of_entries
N,14427
NNE,2249
NE,3507
ENE,3948
E,12180
ESE,9690
SE,6343
SSE,2966
S,2742
SSW,1614
SW,1400
WSW,1744
W,2287
WNW,2029
NW,2009
NNW,3438
