month,wind_speed
"Mar, 3",30.73
"Jul, 3",29.76
"Sep, 3",51.0
"Nov, 3",27.43
"May, 3",31.08
"Oct, 3",31.0
"Jan, 3",28.0
"Feb, 3",31.7
"Apr, 3",30.29
"Jun, 3",30.42
"Aug, 3",33.5
"Dec, 3",30.25
