temperature,no_of_entries
6,1
7,4
8,40
9,955
10,84
11,193
12,291
13,414
14,557
15,322
16,791
17,1168
18,1372
19,1718
20,1118
21,3145
22,4455
23,6692
24,8564
25,5091
26,10558
27,10887
28,10361
29,7804
30,3008
31,4578
32,3227
33,1517
34,387
35,50
36,26
37,2
50,1
63,1
