date,temperature,relative_humidity,pressure,wind_speed,wind_direction,visibility
2021-03-05,18,77.46,29.95,4,310,10.0
2022-12-27,14,93.7,30.14,4,310,10.0
2018-06-29,31,58.81,30.07,0,0,10.0
2021-10-13,24,88.6,29.93,0,0,10.0
2018-09-21,28,78.92,30.05,7,90,10.0
2022-10-16,30,70.29,30.03,10,70,10.0
2014-12-01,23,68.97,30.23,3,40,10.0
2019-09-10,29,70.11,30.09,11,100,10.0
2020-11-11,26,88.76,29.87,13,120,10.0
2014-02-21,24,88.6,30.1,11,110,10.0
2014-06-28,26,78.64,30.08,0,0,10.0
2015-01-30,16,72.22,30.2,0,0,10.0
2015-05-26,27,69.74,30.13,13,110,10.0
2021-11-26,26,47.55,29.98,6,290,10.0
2016-05-04,25,83.45,29.9,8,240,10.0
2017-10-28,26,57.63,29.97,12,80,10.0
2021-01-25,21,88.35,30.04,7,100,10.0
2015-01-30,17,67.77,30.21,6,320,10.0
2015-12-13,23,88.52,30.1,6,60,10.0
2016-03-23,21,56.41,30.26,12,80,10.0
2022-07-30,32,55.56,30.12,13,100,10.0
2019-12-31,24,64.93,30.02,3,330,10.0
2023-12-28,19,72.76,29.89,3,350,10.0
2015-06-01,29,62.06,30.08,8,110,10.0
2022-07-31,28,78.92,30.16,11,80,10.0
2023-01-30,25,78.5,30.18,12,100,10.0
2014-10-01,27,83.68,29.88,0,0,10.0
2014-10-06,25,69.36,30.0,0,0,10.0
2022-02-03,26,65.36,30.12,14,110,10.0
2022-05-15,25,83.45,29.94,0,0,10.0
2023-01-29,23,73.46,30.2,9,80,10.0
2017-09-15,29,79.06,30.0,6,30,10.0
2014-06-16,27,78.78,30.12,4,350,10.0
2022-09-30,22,78.06,29.75,6,320,10.0
2015-07-13,28,69.92,30.03,5,160,10.0
2014-06-06,32,40.72,29.95,12,100,10.0
2021-12-17,27,69.74,30.18,13,110,10.0
2021-02-16,26,83.57,29.99,8,160,8.0
2021-05-28,27,65.56,29.96,8,120,10.0
2019-03-30,22,60.47,30.11,4,30,10.0
2018-04-23,25,83.45,30.02,9,130,10.0
2021-08-20,33,55.81,29.94,5,130,10.0
