direction,0-2,2-4,4-6,6-8,8-10,10-12,12-14,14-16,16+
N,11275,1567,3050,2868,2769,1809,788,210,61
S,0,1333,2539,1794,1025,418,126,13,5
E,0,1752,5050,6711,6817,5001,2675,1000,386
W,0,2620,4384,2939,1327,240,18,3,0
